label_id,label,precision,recall,f1,support
0,Complain,0.7021276595744681,0.5789473684210527,0.6346153846153846,57
1,Praise,0.8536585365853658,0.813953488372093,0.8333333333333333,43
2,Apologise,1.0,0.9629629629629629,0.9811320754716981,27
3,Thank,0.96,0.96,0.96,25
4,Criticize,0.5454545454545454,0.5217391304347826,0.5333333333333332,23
5,Agree,0.7857142857142857,0.9166666666666666,0.8461538461538461,12
6,Taunt,0.2,0.25,0.22222222222222224,12
7,Flaunt,0.4444444444444444,0.4,0.4210526315789474,10
8,Joke,0.4,0.4,0.4000000000000001,10
9,Oppose,0.2727272727272727,0.3,0.28571428571428564,10
10,Comfort,0.7894736842105263,0.8333333333333334,0.8108108108108109,18
11,Care,0.8571428571428571,0.9473684210526315,0.9,19
12,Inform,0.6885245901639344,0.7368421052631579,0.7118644067796609,57
13,Advise,0.6129032258064516,0.76,0.6785714285714285,25
14,Arrange,0.64,0.7272727272727273,0.6808510638297872,22
15,Introduce,0.6818181818181818,0.7142857142857143,0.6976744186046512,21
16,Leave,0.8,0.7058823529411765,0.7500000000000001,17
17,Prevent,0.8461538461538461,0.7333333333333333,0.7857142857142856,15
18,Greet,1.0,0.75,0.8571428571428571,12
19,Ask for help,0.7777777777777778,0.7,0.7368421052631577,10
