true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,0.578947,0.035088,0.000000,0.000000,0.105263,0.000000,0.070175,0.035088,0.000000,0.070175,0.000000,0.000000,0.070175,0.035088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Praise,0.000000,0.813953,0.000000,0.023256,0.000000,0.046512,0.000000,0.000000,0.023256,0.000000,0.023256,0.000000,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Apologise,0.037037,0.000000,0.962963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Thank,0.000000,0.040000,0.000000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Criticize,0.130435,0.000000,0.000000,0.000000,0.521739,0.000000,0.130435,0.000000,0.043478,0.000000,0.000000,0.043478,0.043478,0.043478,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000
Agree,0.000000,0.000000,0.000000,0.000000,0.000000,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Taunt,0.083333,0.083333,0.000000,0.000000,0.166667,0.000000,0.250000,0.000000,0.166667,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.083333
Flaunt,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Joke,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000
Oppose,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.100000,0.100000,0.000000,0.000000
Comfort,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Care,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.947368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Inform,0.035088,0.017544,0.000000,0.000000,0.017544,0.000000,0.000000,0.017544,0.000000,0.000000,0.017544,0.017544,0.736842,0.017544,0.087719,0.017544,0.017544,0.000000,0.000000,0.000000
Advise,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.080000,0.000000,0.000000,0.000000,0.040000,0.040000,0.000000,0.760000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
Arrange,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090909,0.727273,0.000000,0.045455,0.000000,0.000000,0.045455
Introduce,0.000000,0.047619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.142857,0.047619,0.000000,0.714286,0.000000,0.000000,0.000000,0.000000
Leave,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176471,0.000000,0.117647,0.000000,0.705882,0.000000,0.000000,0.000000
Prevent,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.066667,0.000000,0.066667,0.066667,0.000000,0.000000,0.000000,0.733333,0.000000,0.000000
Greet,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.083333,0.000000,0.000000,0.750000,0.000000
Ask for help,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.700000
